commit	pl_time	pl_mem_mb	np_time	speedup	match	fitness	status	description
67e51f2	1.2272	1.1	0.0021	0.0017	true	1.000	keep	baseline (map_elements + bisect)
7c2b516	0.0677	0.7	0.0021	0.0309	true	0.230	keep	Rust list_clip plugin (Arrow buffers + partition_point)
b41d65f	0.2085	0.0	0.0021	0.0100	false	-	discard	interval-loop (wrong output ordering, match=false)
4d56e32	0.0796	19.3	0.0021	0.0259	true	5.310	discard	unit-loop (correct order but high memory, concat tiles)
8f302e8	0.0549	0.0	0.0021	0.0381	true	0.031	keep	cross_clip Rust (no cross-join, Rust does cross-product)
12c1b0b	0.0546	0.0	0.0021	0.0382	true	0.031	keep	parallel cross_clip with rayon (marginal gain on small n_units)
40b5452	0.0019	0.0	0.0021	1.0794	true	0.001	keep	avoid gather of large list col (drop before indexing, 646x vs baseline)
19d6c34	0.0014	0.0	0.0021	1.4335	true	0.001	keep	numpy repeat/tile for faster index construction (1.43x faster than numpy)
7fd57ef	0.0013	0.0	0.0020	1.6139	true	0.001	keep	cross_clip_series uses Series inputs instead of kwargs (1.61x faster than numpy)
612b26c	0.0011	0.0	0.0022	1.9765	true	0.001	keep	parallel over units with abs offsets (1.98x faster than numpy)
9f2e04d	0.0010	0.0	0.0021	2.0327	true	0.001	keep	Arrow flat buffer output (2.03x faster than numpy)
364e17b	0.0012	0.0	0.0021	1.7321	true	0.001	discard	pre-alloc flat buffer + sequential fill (slightly slower)
5ad8718	0.0011	0.0	0.0021	1.8395	true	0.001	discard	avoid other_with_bounds (slightly slower than Arrow flat buffer path)
b74fc07	0.0012	0.0	0.0020	1.7383	true	0.001	discard	skip Float64 cast optimization (noise, similar to best)
cb14165	0.0010	0.0	0.0020	2.0891	true	0.001	keep	combine binary search + data copy in single parallel pass per unit (2.09x numpy)
